Date : 2024-01-06 20:50:23
Directory : c:\Development\Projects\builder\frontend
Total : 142 files,  15139 codes, 131 comments, 381 blanks, all 15651 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     11,900 |          0 |          4 |     11,904 |
| Svelte             |         48 |      2,463 |         56 |        315 |      2,834 |
| TypeScript         |         27 |        768 |         53 |        152 |        973 |
| HTML               |          5 |        610 |          0 |         63 |        673 |
| JavaScript         |          7 |        335 |         26 |         40 |        401 |
| CSS                |          4 |        258 |         11 |         26 |        295 |
| Markdown           |          1 |         66 |          0 |         42 |        108 |
| XML                |          1 |         55 |          0 |          1 |         56 |
| JSON with Comments |          1 |         12 |          0 |          0 |         12 |
| Docker             |          1 |          6 |          4 |          4 |         14 |
| Python             |         42 |     -1,334 |        -19 |       -266 |     -1,619 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        142 |     15,139 |        131 |        381 |     15,651 |
| . (Files)                                                                                                                                     |          1 |         16 |          0 |          1 |         17 |
| ..                                                                                                                                            |         43 |     -1,360 |        -19 |       -266 |     -1,645 |
| ..\backend                                                                                                                                    |         43 |     -1,360 |        -19 |       -266 |     -1,645 |
| ..\backend\programbuilder                                                                                                                     |         43 |     -1,360 |        -19 |       -266 |     -1,645 |
| ..\backend\programbuilder\builder                                                                                                             |         43 |     -1,360 |        -19 |       -266 |     -1,645 |
| ..\backend\programbuilder\builder (Files)                                                                                                     |          3 |        -45 |          0 |         -8 |        -53 |
| ..\backend\programbuilder\builder\management                                                                                                  |          3 |        -49 |          0 |         -5 |        -54 |
| ..\backend\programbuilder\builder\management\commands                                                                                         |          2 |        -23 |          0 |         -5 |        -28 |
| ..\backend\programbuilder\builder\management\files                                                                                            |          1 |        -26 |          0 |          0 |        -26 |
| ..\backend\programbuilder\builder\migrations                                                                                                  |          7 |       -303 |         -6 |        -38 |       -347 |
| ..\backend\programbuilder\builder\models                                                                                                      |         13 |       -351 |         -1 |        -69 |       -421 |
| ..\backend\programbuilder\builder\serializers                                                                                                 |          6 |       -155 |         -2 |        -50 |       -207 |
| ..\backend\programbuilder\builder\tests                                                                                                       |          4 |       -145 |          0 |        -31 |       -176 |
| ..\backend\programbuilder\builder\tests (Files)                                                                                               |          2 |        -25 |          0 |         -9 |        -34 |
| ..\backend\programbuilder\builder\tests\views                                                                                                 |          2 |       -120 |          0 |        -22 |       -142 |
