"filename", "language", "JSON", "JavaScript", "Docker", "TypeScript", "JSON with Comments", "CSS", "HTML", "Svelte", "Markdown", "XML", "comment", "blank", "total"
"c:\Development\Projects\builder\frontend\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Development\Projects\builder\frontend\svelte-app\Dockerfile", "Docker", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 4, 14
"c:\Development\Projects\builder\frontend\svelte-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 42, 108
"c:\Development\Projects\builder\frontend\svelte-app\__tests__\utilities\localStorageUtilities.test.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 7, 33
"c:\Development\Projects\builder\frontend\svelte-app\__tests__\utilities\modalUtilities.test.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 15, 78
"c:\Development\Projects\builder\frontend\svelte-app\__tests__\utilities\userAPI.test.ts", "TypeScript", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 21, 192
"c:\Development\Projects\builder\frontend\svelte-app\coverage\clover.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 56
"c:\Development\Projects\builder\frontend\svelte-app\coverage\coverage-final.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 9, 13, 225
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 88
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 16, 146
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\localStorageUtilities.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 15, 109
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\modalUtilities.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 15, 157
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\prettify.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\sorter.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 197
"c:\Development\Projects\builder\frontend\svelte-app\coverage\lcov-report\userAPI.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 244
"c:\Development\Projects\builder\frontend\svelte-app\jest.config.cjs", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Development\Projects\builder\frontend\svelte-app\package-lock.json", "JSON", 11846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11847
"c:\Development\Projects\builder\frontend\svelte-app\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Development\Projects\builder\frontend\svelte-app\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Development\Projects\builder\frontend\svelte-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Development\Projects\builder\frontend\svelte-app\rollup.config.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"c:\Development\Projects\builder\frontend\svelte-app\src\App.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Development\Projects\builder\frontend\svelte-app\src\components\BaseModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 1, 8, 70
"c:\Development\Projects\builder\frontend\svelte-app\src\components\ErrorModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 11, 62
