"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Development\Projects\builder\backend\programbuilder\builder\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Development\Projects\builder\backend\programbuilder\builder\admin.py", "Python", 41, 0, 0, 4, 45
"c:\Development\Projects\builder\backend\programbuilder\builder\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Development\Projects\builder\backend\programbuilder\builder\management\commands\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Development\Projects\builder\backend\programbuilder\builder\management\commands\populate_official_templates.py", "Python", 23, 0, 0, 4, 27
"c:\Development\Projects\builder\backend\programbuilder\builder\management\files\official_beginner_templates.json", "JSON", 0, 26, 0, 0, 26
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0001_initial.py", "Python", 143, 0, 1, 7, 151
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0002_rename_clientnote_trainernote.py", "Python", 11, 0, 1, 6, 18
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0003_clientpreferences_clientnotes_clientinjuries_and_more.py", "Python", 70, 0, 1, 6, 77
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0004_alter_clientgoals_goal_type.py", "Python", 12, 0, 1, 6, 19
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0005_remove_clientdata_goals_remove_clientdata_injuries_and_more.py", "Python", 43, 0, 1, 6, 50
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\0006_simplegoal.py", "Python", 24, 0, 1, 6, 31
"c:\Development\Projects\builder\backend\programbuilder\builder\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Development\Projects\builder\backend\programbuilder\builder\models\__init__.py", "Python", 12, 0, 0, 1, 13
"c:\Development\Projects\builder\backend\programbuilder\builder\models\account_metrics.py", "Python", 22, 0, 0, 4, 26
"c:\Development\Projects\builder\backend\programbuilder\builder\models\client_data.py", "Python", 120, 0, 0, 19, 139
"c:\Development\Projects\builder\backend\programbuilder\builder\models\client_note.py", "Python", 13, 0, 1, 4, 18
"c:\Development\Projects\builder\backend\programbuilder\builder\models\goals.py", "Python", 30, 0, 0, 4, 34
"c:\Development\Projects\builder\backend\programbuilder\builder\models\official_templates.py", "Python", 10, 0, 0, 4, 14
"c:\Development\Projects\builder\backend\programbuilder\builder\models\program.py", "Python", 20, 0, 0, 4, 24
"c:\Development\Projects\builder\backend\programbuilder\builder\models\role.py", "Python", 8, 0, 0, 2, 10
"c:\Development\Projects\builder\backend\programbuilder\builder\models\trainer_client.py", "Python", 23, 0, 0, 5, 28
"c:\Development\Projects\builder\backend\programbuilder\builder\models\user.py", "Python", 48, 0, 0, 10, 58
"c:\Development\Projects\builder\backend\programbuilder\builder\models\user_profile.py", "Python", 13, 0, 0, 4, 17
"c:\Development\Projects\builder\backend\programbuilder\builder\models\user_role.py", "Python", 13, 0, 0, 5, 18
"c:\Development\Projects\builder\backend\programbuilder\builder\models\user_template_selection.py", "Python", 19, 0, 0, 3, 22
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\__init__.py", "Python", 11, 0, 0, 1, 12
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\client_serializer.py", "Python", 35, 0, 0, 13, 48
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\goals_serializer.py", "Python", 23, 0, 1, 9, 33
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\program_serializer.py", "Python", 20, 0, 0, 5, 25
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\trainer_serializer.py", "Python", 14, 0, 0, 6, 20
"c:\Development\Projects\builder\backend\programbuilder\builder\serializers\user_serializer.py", "Python", 52, 0, 1, 16, 69
"c:\Development\Projects\builder\backend\programbuilder\builder\tests\__init__.py", "Python", 0, 0, 0, 2, 2
"c:\Development\Projects\builder\backend\programbuilder\builder\tests\test_urls.py", "Python", 25, 0, 0, 7, 32
"c:\Development\Projects\builder\backend\programbuilder\builder\tests\views\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Development\Projects\builder\backend\programbuilder\builder\tests\views\test_user_views.py", "Python", 120, 0, 0, 21, 141
"c:\Development\Projects\builder\backend\programbuilder\builder\views\__init__.py", "Python", 18, 0, 0, 1, 19
"c:\Development\Projects\builder\backend\programbuilder\builder\views\client_views.py", "Python", 72, 0, 3, 20, 95
"c:\Development\Projects\builder\backend\programbuilder\builder\views\goal_views.py", "Python", 36, 0, 1, 5, 42
"c:\Development\Projects\builder\backend\programbuilder\builder\views\official_templates_views.py", "Python", 27, 0, 0, 7, 34
"c:\Development\Projects\builder\backend\programbuilder\builder\views\program_views.py", "Python", 14, 0, 0, 3, 17
"c:\Development\Projects\builder\backend\programbuilder\builder\views\trainer_views.py", "Python", 11, 0, 1, 3, 15
"c:\Development\Projects\builder\backend\programbuilder\builder\views\user_views.py", "Python", 134, 0, 5, 26, 165
"Total", "-", 1334, 26, 19, 266, 1645
